,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
343,Pesisir Bunga Matahari,"Jl. Pantai Glagah, Glagah, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654",,"33QJ+FM Glagah, Kulon Progo Regency, Special Region of Yogyakarta",4.3,88,"https://www.google.com/maps/place/Pesisir+Bunga+Matahari/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7ae39830ec773f:0x37649f356894f375!8m2!3d-7.9112753!4d110.0816989!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdmVYVjFXRzFCUlJBQg?hl=id"
344,Wanadesa Wisata Kaliagung,"Jalan Pengasih - Sentolo KM.2 Tegowanu, Tegowanti, Kaliagung, Kec. Sentolo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55664",business.site,"559P+8J Kaliagung, Kulon Progo Regency, Special Region of Yogyakarta",4.3,88,"https://www.google.com/maps/place/Wanadesa+Wisata+Kaliagung/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7afaf5e6a187a9:0xb4759547ebde1e5!8m2!3d-7.8316474!4d110.1865515!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5KYzFwTGRHeDNSUkFC?hl=id"
345,Goa Braholo Pj,"Ploso, Semugih, Rongkop, Gunung Kidul Regency, Special Region of Yogyakarta 55883",kabarhandayani.com,"WPJX+4F Semugih, Gunung Kidul Regency, Special Region of Yogyakarta",4.1,88,"https://www.google.com/maps/place/Goa+Braholo+Pj/@-8.1861596,110.4115274,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7bc85204a51781:0x3ac14cc3d2a34c52!8m2!3d-8.0696572!4d110.7486962!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjNjRFY1WDJKQkVBRQ?hl=id"
346,Wunung Giri SÃƒÂ©la Kandha,"RT.01 / RW02, Wunung, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851",instagram.com,"XHFF+CQ Wunung, Gunung Kidul Regency, Special Region of Yogyakarta",4.6,88,"https://www.google.com/maps/place/Wunung+Giri+S%C3%A9la+Kandha/@-8.033375,110.2787889,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7bb363ef8a6fbd:0x9689a9e2aee9205b!8m2!3d-8.0264395!4d110.5744172!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk5kelpJWlU1UkVBRQ?hl=id"
347,Jalan Viral Kulonprogo,"Pamonosutan, Kembang, Nanggulan, Kulon Progo Regency, Special Region of Yogyakarta 55671",,"7623+G5 Kembang, Kulon Progo Regency, Special Region of Yogyakarta",4.3,89,"https://www.google.com/maps/place/Jalan+Viral+Kulonprogo/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7af127579d623b:0xc542a92ecac7a44!8m2!3d-7.7487442!4d110.202918!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9u?hl=id"
348,Pesona Gunung Kuniran,"Unnamed Road, Kuripan, Hargorejo, Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",,"5449+8H Hargorejo, Kulon Progo Regency, Special Region of Yogyakarta",4.4,89,"https://www.google.com/maps/place/Pesona+Gunung+Kuniran/@-7.8202403,110.0938245,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+kulon+progo!6e1!3m5!1s0x2e7ae538648fb051:0x7481bf1854f18e97!8m2!3d-7.8442491!4d110.1189786!15sCh1vYmplayB3aXNhdGEgbmVhciBrdWxvbiBwcm9nb1otCgxvYmplayB3aXNhdGEiHW9iamVrIHdpc2F0YSBuZWFyIGt1bG9uIHByb2dvkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWZUU1eVZtVkJFQUU?hl=id"
349,Dewi Rawe,"Jl. Rajek Lor-Rajek Wetan, Rajeg Wetan, Tirtoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55287",,"68XP+C4 Tirtoadi, Sleman Regency, Special Region of Yogyakarta",4.5,89,"https://www.google.com/maps/place/Dewi+Rawe/@-7.8176686,109.9866108,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+sleman!6e1!3m5!1s0x2e7a5948c32a00f1:0x893a134c3d2923db!8m2!3d-7.7514803!4d110.3352759!15sChhvYmplayB3aXNhdGEgbmVhciBzbGVtYW5aKAoMb2JqZWsgd2lzYXRhIhhvYmplayB3aXNhdGEgbmVhciBzbGVtYW6SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlpka3hoWkhaUlJSQUI?hl=id"
350,Candi Risan,"Candi, Candi Rejo, Semin, Gunung Kidul Regency, Special Region of Yogyakarta 55854",,"5QC4+R2 Candi Rejo, Gunung Kidul Regency, Special Region of Yogyakarta",4.4,90,"https://www.google.com/maps/place/Candi+Risan/@-8.1288246,110.2686249,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a3659e5c5e16f:0x29cce616f6f30ead!8m2!3d-7.8279533!4d110.7550742!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQ9idWRkaGlzdF90ZW1wbGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlZha3RQWWw5M1JSQUI?hl=id"
351,Desa Wisata Sidoakur,"Jl. Godean No.KM. 8, Jetak II, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264",,"68J6+MX Sidokarto, Sleman Regency, Special Region of Yogyakarta",4.2,91,"https://www.google.com/maps/place/Desa+Wisata+Sidoakur/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7af7c6050890f5:0x1fdcc3d7c3a21e49!8m2!3d-7.76836!4d110.3124349!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbg?hl=id"
352,Gunung Nglanggeran,"Tlogo, Terbah, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta",,"5G5W+Q2 Terbah, Gunung Kidul Regency, Special Region of Yogyakarta",4.7,91,"https://www.google.com/maps/place/Gunung+Nglanggeran/@-8.1902176,110.4302258,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7a4e387a29a565:0xb84ed0a0fcb97401!8m2!3d-7.8405556!4d110.545!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQRwZWFr?hl=id"
