,Name,Full_Address,Website,Plus_Code,Rating,Reviews,URL
924,Taman Budaya Yogyakarta,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",thewindowofyogyakarta.com,"59X9+W3 Ngupasan, Yogyakarta City, Special Region of Yogyakarta",4.5,"4,395","https://www.google.com/maps/place/Taman+Budaya+Yogyakarta/@-7.8293112,110.3255878,12z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a57861525067b:0xbec924301bdb92e8!8m2!3d-7.8001496!4d110.3676424!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBD2N1bHR1cmFsX2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTkxWQXlaRkJCRUFF?hl=id"
925,Pantai Gesing,"Bolang, Girikarto, Panggang, Gunung Kidul Regency, Special Region of Yogyakarta 55133",,"VFR9+H5 Girikarto, Gunung Kidul Regency, Special Region of Yogyakarta",4.4,"4,403","https://www.google.com/maps/place/Pantai+Gesing/@-8.1508415,110.3328338,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7baf7729055893:0xfaf1f0102bac9342!8m2!3d-8.1085778!4d110.4679367!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnZORXRUVEd0M1JSQUI?hl=id"
926,Mangrove Jembatan Api-Api (MJAA),"Pasir Mendit, Jangkaran, Temon, Kulon Progo Regency, Special Region of Yogyakarta 55654",,"424G+34 Jangkaran, Kulon Progo Regency, Special Region of Yogyakarta",4.3,"4,421","https://www.google.com/maps/place/Mangrove+Jembatan+Api-Api+(MJAA)/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7ae6b4c5ad0dc1:0x2086dd68bafded7f!8m2!3d-7.89485!4d110.0253631!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbg?hl=id"
929,Pasar Ngasem,"Jl. Polowijan No.11, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",,"59R5+JW Patehan, Yogyakarta City, Special Region of Yogyakarta",4.5,"4,635","https://www.google.com/maps/place/Pasar+Ngasem/@-7.8675423,110.0066054,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a5792252f4e3f:0x36fbd296a07c1da7!8m2!3d-7.8084698!4d110.3598633!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRyYWRpdGlvbmFsX21hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOemFqWm1VazluRUFF?hl=id"
932,Pulang Sawal,"Ngasem, Sidoharjo, Tepus, Gunung Kidul Regency, Special Region of Yogyakarta 55881",pantaigunungkidul.com,"RJX7+M5 Sidoharjo, Gunung Kidul Regency, Special Region of Yogyakarta",4.4,"4,784","https://www.google.com/maps/place/Pulang+Sawal/@-8.1508415,110.3328338,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+gunung+kidul!6e1!3m5!1s0x2e7bba2bc08969f7:0x6df3fa2309bb186a!8m2!3d-8.1508415!4d110.6129852!15sCh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWxaLgoMb2JqZWsgd2lzYXRhIh5vYmplayB3aXNhdGEgbmVhciBndW51bmcga2lkdWySAQxwdWJsaWNfYmVhY2iaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXdkbUppWkU5M0VBRQ?hl=id"
933,Hutan Pinus Asri,"Jl. Hutan Pinus Nganjir, Sukorame, Mangunan, Dlingo, Bantul, Daerah Istimewa Yogyakarta 55783",,"3CHP+J6 Mangunan, Bantul Regency, Special Region of Yogyakarta",4.5,"4,806","https://www.google.com/maps/place/Hutan+Pinus+Asri/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a537984052d55:0xbc70c46c282502bc!8m2!3d-7.9209209!4d110.4355651!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEG5hdGlvbmFsX3Jlc2VydmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm5kamw1U1V4bkVBRQ?hl=id"
936,Taman Pintar Yogyakarta,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",tamanpintar.co.id,"59X9+P3 Ngupasan, Yogyakarta City, Special Region of Yogyakarta",4.5,"4,837","https://www.google.com/maps/place/Taman+Pintar+Yogyakarta/@-7.8102685,110.3581324,13z/data=!4m9!1m2!2m1!1sobjek+wisata+near+yogyakarta!3m5!1s0x2e7a57860f2fb9af:0xa9f6007074b62dd8!8m2!3d-7.800686!4d110.3677152!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5wTXpSRU5EQkJSUkFC?hl=id"
937,Gabusan Art Market,"Jl. Parangtritis, Balong, Timbulharjo, Kec. Sewon, Bantul, Daerah Istimewa Yogyakarta 55185",,"48FX+7X Timbulharjo, Bantul Regency, Special Region of Yogyakarta",4.3,"4,851","https://www.google.com/maps/place/Gabusan+Art+Market/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a560a37f32bc1:0x6a032baa8ed60b15!8m2!3d-7.8767695!4d110.3499729!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBBm1hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUmVWOVBVMGhCRUFF?hl=id"
939,Taman Wisata Kaliurang,"Jl. Siaga, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",,"CC2G+FG Hargobinangun, Sleman Regency, Special Region of Yogyakarta",4.4,"5,204","https://www.google.com/maps/place/Taman+Wisata+Kaliurang/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a672d4b335dcd:0xdf496e2812be2ce3!8m2!3d-7.5988019!4d110.4263604!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUk5jazAzVW01QlJSQUI?hl=id"
941,Bukit Klangon,"Kalitengah Lor, Glagaharjo, Cangkringan, Sleman Regency, Special Region of Yogyakarta 55583",,"CFF3+6W Glagaharjo, Sleman Regency, Special Region of Yogyakarta",4.5,"5,247","https://www.google.com/maps/place/Bukit+Klangon/@-7.8172993,109.9866025,10z/data=!4m10!1m3!2m2!1sobjek+wisata+near+yogyakarta!6e1!3m5!1s0x2e7a66e66aba0c5f:0x3e322915d949a25!8m2!3d-7.5768966!4d110.4548266!15sChxvYmplayB3aXNhdGEgbmVhciB5b2d5YWthcnRhWiwKDG9iamVrIHdpc2F0YSIcb2JqZWsgd2lzYXRhIG5lYXIgeW9neWFrYXJ0YZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOM2RGazNRM2RCUlJBQg?hl=id"
